"species","commonname"
"Elattostachys xylocarpa","White Tamarind"
"Elattostachys zippeliana",""
"Electranthera mutica","veinte reales; Bajk'altez, Bajicaltez, Nichim; guiÊe-dzÛu, bàr-nguzhànch; Yàg-ngûzhánch, guìzh-nguzhánch, veinte reales"
"Elekmania stenodon",""
"Elephantorrhiza burkei",""
"Elephantorrhiza goetzei",""
"Elephantorrhiza schinziana",""
"Elephantorrhiza suffruticosa",""
"Eleutherandra pes-cervi",""
"Eleutherococcus lasiogyne",""
"Eleutherococcus sessiliflorus","Элеутерококк сидячецветковый; 오갈피나무; O-gal-pi-na-mu"
"Eleutherostylis renistipulata",""
"Eliea articulata",""
"Eligmocarpus cynometroides",""
"Elingamita johnsonii",""
"Elliottia racemosa",""
"Ellipanthus beccarii",""
"Ellipanthus glabrifolius",""
"Ellipanthus madagascariensis","mkaya-Rufiji"
"Ellipanthus razanatsimae",""
"Ellipanthus tomentosus",""
"Elvasia bisepala",""
"Elvasia calophyllea",""
"Elvasia canescens",""
"Elvasia elvasioides",""
"Elvasia gigantifolia",""
"Elvasia macrostipularis",""
"Elvasia quinqueloba",""
"Elvasia sphaerocarpa",""
"Elvasia tricarpellata",""
"Embelia tropophylla",""
"Embelia upembensis",""
"Embolanthera spicata",""
"Embothrium coccineum","Chilean fire tree; Chilean flame tree; notro; notru; ciruelillo; fosforito; treumn; Chilean Fire Bush"
"Emmenopterys henryi",""
"Emmenosperma alphitonioides","Yellow Ash"
"Emmenosperma cunninghamii","Emmenosperma"
"Emmenosperma pancherianum",""
"Emmenosperma papuanum",""
"Emmotum acuminatum",""
"Emmotum affine",""
"Emmotum amazonicum",""
"Emmotum celiae",""
"Emmotum conjunctum",""
"Emmotum fagifolium",""
"Emmotum floribundum",""
"Emmotum fulvum",""
"Emmotum glabrum",""
"Emmotum harleyi",""
"Emmotum nitens",""
"Emmotum orbiculatum",""
"Emmotum yapacanum",""
"Empleurum fragrans",""
"Empleurum unicapsulare",""
"Empogona acidophylla","Mwahasa(Hehe)"
"Empogona aequatoria",""
"Empogona africana",""
"Empogona bequaertii",""
"Empogona bracteata",""
"Empogona concolor",""
"Empogona congesta","Mwisuti(Kimbu); Mujimbua(Nyaturu); Mchakachua(Sambaa)"
"Empogona coriacea",""
"Empogona crepiniana",""
"Empogona discolor","Coffe-Afan"
"Empogona glabra",""
"Empogona gossweileri",""
"Empogona jenniferae",""
"Empogona kirkii",""
"Empogona lanceolata",""
"Empogona macrophylla",""
"Empogona reflexa",""
"Empogona talbotii",""
"Endertia spectabilis",""
"Endiandra acuminata","Brown Walnut"
"Endiandra aggregata",""
"Endiandra albiramea",""
"Endiandra aneityensis",""
"Endiandra anthropophagorum",""
"Endiandra baillonii",""
"Endiandra beccariana",""
"Endiandra bellendenkerana",""
"Endiandra bessaphila","Blush Walnut"
"Endiandra brassii",""
"Endiandra bullata",""
"Endiandra carrii",""
"Endiandra clavigera",""
"Endiandra clemensii",""
"Endiandra collinsii",""
"Endiandra compressa","White Bark"
"Endiandra cooperana",""
"Endiandra coriacea",""
"Endiandra cowleyana","Northern Rose Walnut"
"Endiandra crassiflora","Dorrigo Maple"
"Endiandra cyphellophora",""
"Endiandra dichrophylla","Coach Walnut"
"Endiandra dielsiana","Tormenta"
"Endiandra discolor","Domatia Tree"
"Endiandra dolichocarpa",""
"Endiandra elongata",""
"Endiandra engleriana",""
"Endiandra euadenia",""
"Endiandra eusideroxylocarpa",""
"Endiandra faceta",""
"Endiandra ferruginea",""
"Endiandra firma",""
"Endiandra flavinervis",""
"Endiandra floydii","Crystal Creek Walnut"
"Endiandra forbesii",""
"Endiandra fulva",""
"Endiandra glauca","Brown Walnut"
"Endiandra globosa","Ball-fruited Walnut"
"Endiandra grandifolia",""
"Endiandra grayi",""
"Endiandra hainanensis",""
"Endiandra hayesii","Rusty Rose Walnut"
"Endiandra holttumii",""
"Endiandra hypotephra","Blue Walnut"
"Endiandra immersa",""
"Endiandra impressicosta","Steelbutt; Sunken Nerve Walnut; Steelbutt"
"Endiandra inaequitepala",""
"Endiandra insignis","Hairy Walnut"
"Endiandra introrsa","Dorrigo Plum"
"Endiandra invasiorum",""
"Endiandra jonesii",""
"Endiandra kingiana",""
"Endiandra latifolia",""
"Endiandra laxiflora",""
"Endiandra lecardii",""
"Endiandra ledermannii",""
"Endiandra leptodendron",""
"Endiandra longipedicellata","Bluff Walnut"
"Endiandra macrophylla",""
"Endiandra macrostemon",""
"Endiandra magnilimba",""
"Endiandra maingayi",""
"Endiandra microneura","Noah's Walnut"
"Endiandra microphylla",""
"Endiandra montana","Brown Walnut"
"Endiandra monticola",""
"Endiandra muelleri","Green-leaved Rose Walnut; Mueller's Walnut"
"Endiandra neocaledonica",""
"Endiandra ochracea",""
"Endiandra oviformis",""
"Endiandra palmerstonii","Queensland Walnut"
"Endiandra papuana",""
"Endiandra phaeocarpa",""
"Endiandra pilosa",""
"Endiandra polyneura",""
"Endiandra pubens","Hairy Walnut"
"Endiandra recurva",""
"Endiandra rigidior",""
"Endiandra rubescens",""
"Endiandra sankeyana","Sankey's Walnut"
"Endiandra schlechteri",""
"Endiandra scrobiculata",""
"Endiandra sebertii",""
"Endiandra sericea",""
"Endiandra sideroxylon","Buff Walnut"
"Endiandra sieberi","Hard Corkwood"
"Endiandra sleumeri",""
"Endiandra solomonensis",""
"Endiandra sulavesiana",""
"Endiandra teschneri",""
"Endiandra trichotosa",""
"Endiandra versteeghii",""
"Endiandra virens","White Apple"
"Endiandra wolfei",""
"Endiandra wongawallanensis",""
"Endiandra xanthocarpa",""
"Endiandra xylophylla",""
"Endlicheria acuminata","Cedrillo"
"Endlicheria anomala","Anime rosado"
"Endlicheria arachnocome",""
"Endlicheria arenosa",""
"Endlicheria arunciflora",""
"Endlicheria aurea",""
"Endlicheria bracteata",""
"Endlicheria bracteolata",""
"Endlicheria browniana","Yalte"
"Endlicheria canescens",""
"Endlicheria chalisea",""
"Endlicheria chrysovelutina",""
"Endlicheria citriodora",""
"Endlicheria cocuirey",""
"Endlicheria coriacea",""
"Endlicheria dictifarinosa",""
"Endlicheria directonervia","Caquin amarillo"
"Endlicheria duotincta",""
"Endlicheria dysodantha",""
"Endlicheria ferruginosa",""
"Endlicheria formosa","Cunshi moena"
"Endlicheria glomerata",""
"Endlicheria gracilis",""
"Endlicheria griseosericea","Laurel"
"Endlicheria jefensis",""
"Endlicheria klugii",""
"Endlicheria krukovii",""
"Endlicheria lhotzkyi",""
"Endlicheria longicaudata",""
"Endlicheria lorastemon",""
"Endlicheria macrophylla",""
"Endlicheria melinonii",""
"Endlicheria metallica","Laurel"
"Endlicheria mishuyacensis",""
"Endlicheria multiflora",""
"Endlicheria oreocola",""
"Endlicheria paniculata","Aguacatillo"
"Endlicheria punctulata",""
"Endlicheria pyriformis","Laurel; Guacharaco; Cienego"
"Endlicheria reflectens",""
"Endlicheria robusta",""
"Endlicheria rubra",""
"Endlicheria rubriflora","Sin nombre comun"
"Endlicheria ruforamula",""
"Endlicheria sericea","Laurel negro; Urcu ayua, Curiquiro blanco"
"Endlicheria sprucei",""
"Endlicheria szyszylowiczii","Laurel"
"Endlicheria tessmannii",""
"Endlicheria tschudyana",""
"Endlicheria verticillata",""
"Endlicheria williamsii",""
"Endlicheria xerampela",""
"Endocomia canarioides",""
"Endocomia macrocoma",""
"Endocomia rufirachis",""
"Endocomia virella",""
"Endodesmia calophylloides","Noum-ossol [fang]; Nom-Ossol; Nam-ossol; Mongoli-Nyondje, Nom-Ossol [Eschira, Eschira]; Nom Ossol [fang]; Noung-Ossol [fang]"
"Endopleura uchi",""
"Endospermum chinense",""
"Endospermum diadenum",""
"Endospermum domatiophorum",""
"Endospermum macrophyllum",""
"Endospermum medullosum",""
"Endospermum moluccanum",""
"Endospermum myrmecophilum","Endospermum"
"Endospermum peltatum",""
"Endospermum quadriloculare",""
"Engelhardia apoensis",""
"Engelhardia rigida",""
"Engelhardia serrata",""
"Engelhardia spicata",""
"Englerodaphne pilosa",""
"Englerodendron brachyrhachis",""
"Englerodendron conchyliophorum",""
"Englerodendron explicans",""
"Englerodendron gabunense",""
"Englerodendron graciliflorum",""
"Englerodendron hallei",""
"Englerodendron isopetalum","pokolo na balé (pokolo du fleuve) [pygmée bibaya de Ngoila-Lamson]"
"Englerodendron korupense",""
"Englerodendron leptorrhachis",""
"Englerodendron libassum",""
"Englerodendron mengei",""
"Englerodendron nigericum",""
"Englerodendron obanense",""
"Englerodendron sargosii",""
"Englerodendron triplisomere",""
"Englerodendron usambarense","Mzumba, Mbarika dume(Sambaa)"
"Englerodendron vignei",""
"Englerophytum congolense",""
"Englerophytum ferrugineum",""
"Englerophytum iturense",""
"Englerophytum laurentii",""
"Englerophytum letestui",""
"Englerophytum libenii",""
"Englerophytum longepedicellatum",""
"Englerophytum magalismontanum",""
"Englerophytum natalense",""
"Englerophytum oblanceolatum",""
"Englerophytum oubanguiense",""
"Englerophytum paludosum",""
"Englerophytum stelechantha","bébo [pygmée bagielli]"
"Englerophytum sylverianum",""
"Engomegoma gordonii",""
"Enkianthus campanulatus","klockbuske; サラサドウダン; シロバナフウリンツツジ; ベニサラサドウダン; キバナフウリンツツジ"
"Enkianthus chinensis",""
"Enkianthus deflexus",""
"Enkianthus pauciflorus",""
"Enkianthus quinqueflorus","국명미지정"
"Enkianthus serrulatus",""
"Enkianthus sikokianus","カイナンサラサドウダン"
"Entada abyssinica","Abyssinia entada; bouda [peulh] | mbouda [peulh] | nbouda [peulh]; kindzeng [nso]; Enrrera; Unguehui; mwegambura; mubundu (bende); Mugelagela (hehe); Mvulamvula; Mfufumasimba; ijiwejwe (rangi); Fano"
"Entada africana","Tawatsa; bzé bzé [kapsiki]; lam-dob [nawdem]; pêkvang [moba]"
"Entada chrysostachys","Vahintsikidy"
"Entada leptostachya","Vahintsikidy"
"Entada louvelii","Sevalahy"
"Entada pervillei",""
"Entandrophragma angolense","Ijebu/Tiama mahogany(English), Okeone(Igbo), Gedunohor(Edo), Ijebo(Yoruba); Edinam; tiama [commercial]; Assi, Sipo [Fang, N.P.]; kuknjok [bos] | sapeli [yaoundé]; tiama [koumou]; Tiama blanc [forestry name (Gabon)]; Oyokou [mitsogho]; TIAMA; Undianuno; Quimbe Muxe; Eepo iji jebo; Jebo; Eepo jebo"
"Entandrophragma bussei",""
"Entandrophragma candollei","atom-assié [yaoundé]; atom-assié; KOSIPO; Mogno"
"Entandrophragma caudatum",""
"Entandrophragma congoense","tiama [forestry name, Gabon]; Odyokou [mitsogho]"
"Entandrophragma cylindricum","boyo [pygmée bagielli]; sapeli [commercial]; ABOUDIKRO; Mogno"
"Entandrophragma delevoyi",""
"Entandrophragma excelsum","Mrie (kiarusha)"
"Entandrophragma palustre",""
"Entandrophragma spicatum",""
"Entandrophragma utile","Onzabili, Sipo [Unspecified, Unspecified]; asé [yaoundé] | kuknjok [bassa]; sipo [Forestry name of Gabon]; SIPO; Mogno"
"Entelea arborescens","whau | hauama | Houama | whauama | whauma; Hauama"
"Enterolobium barinense",""
"Enterolobium barnebianum",""
"Enterolobium contortisiliquum",""
"Enterolobium cyclocarpum","piche, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); Orejero, Piñón de Oreja; elephant's ear; Tzang kuy, Necastle, Nacastle, nacascuahuitl, Guanacaste, Guanacastle, Piche, Parota, Oreja de negro, Pareta, Pitch, Piich, Pich, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); parota, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); Piñón de oreja; Orejero; Caracaro; ya-chibe, huanacastle, lash-matz-za, aguacaste, piich, nanacaste, piiche', guanacastle, piich ch' che', canacaste, tiyohu, nacastle, aguacastle, conacaste, ma-ta-cua-tze, huinacaxtle, huienacaztle, mo-cuadzi, pich, pixoy, orejón, parota, picho, shma-dzi, mo-cua-dzi, ma-ta-cua-tzo, mo-ñi-no, nacaxtle, nacaztle, nacastillo, nacaste, nacashe, necaste, ahuacashle, tiyuhu, tutaján, lash-matz-zi, huinecaxtli, hueinastli, huanacaxtle, cascabel sonaja, cascabel, cuanacaztli, cuanacaztle, cuytátsuic, cuaunacaztli, guanacaste, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); Caracaro, dormidero.; Chicho; Crujidor; Piñón; Carito | Orejero; Mulato; Piñon de Oreja; Piñon de oreja; Orejo; hueinastli, ya-chibe, huanacaxtle, huinecaxtli, cascabel, cascabel sonaja, cuaunacaztli, cuanacaztli, cuytátsuic, guanacastle, huinacaxtle, conacaste, lash-matz-za, piich, mo-cuadzi, nanacaste, ma-ta-cua-tze, piiche', nacastle, aguacastle, tiyohu, canacaste, huienacaztle, huanacastle, guanacaste, piich ch' che', aguacaste, nacascuahuitl, guanacastli, shma-dzi, pixoy, cuanacaztle, pich, picho, ma-ta-cua-tzo, lash-matz-zi, nacaztle, nacaxtle, nacastillo, nacashe, nacaste, mo-cua-dzi, mo-ñi-no, necaste, orejón, parota, ahuacashle, tutaján, tiyuhu, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); Riñon de ovejas | Piñon de oreja | Guacamayo | Carito; Cara-cara | Caracara | Caro | Caro blanco | Caro negro | Caro-Caro | Carocaro | Kara (arekuno); orejero; Devils Ear, Mulattos Ear; bon xa'an, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); guanacastle, canacaste, cascabel, cascabel sonaja, conacaste, cuanacaztle, cuanacaztli (Náhuatl), cuaunacaztli (Náhuatl), cuytátsuic (Popoloca), guanacaste, guanacastli (Náhuatl), hueinastli (Náhuatl), lash-matz-zi (Chontal de Oaxaca), ma-ta-cua-tzo (Chinanteco), mo-cua-dzi (Chinanteco), mo-ñi-no (Chinanteco), nacascuahuitl (Náhuatl), nacaste, nacastillo, nanacaste, oreja de elefante, orejuelo, orejón, parota, pich (Maya), pichi (Maya), picho, piich (Maya), piich ch' che' (Maya), piiche' (Maya), pixoy (Maya), shma-dzi (Chontal de Oaxaca), sonaja, tiyohu (Huasteco), tiyuhu (Huasteco), tutaján (Mixteco), ya-chibe (Zapoteco); Carbonero"
"Enterolobium glaziovii",""
"Enterolobium gummiferum",""
"Enterolobium maximum",""
"Enterolobium monjollo",""
"Enterolobium oldemanii",""
"Enterolobium schomburgkii","Trapiche; Dormidero | Rayo | Rayito; Rayo; Dormilón; Guarango orejero; Ceiba; Jaboncillo | Dormidero | Orejero | Muchi | Jaboncillo; Guacharaco; Dormilon; Dormidero; canamazo"
"Enterolobium timbouva","Caracaro"
"Epacris heteronema",""
"Eperua bijuga",""
"Eperua duckeana",""
"Eperua falcata","Bootlace Tree, South American Wallaba, Wallaba"
"Eperua glabra",""
"Eperua glabriflora",""
"Eperua grandiflora",""
"Eperua jenmanii",""
"Eperua leucantha","o-ko-gee | to\\-se | Kireraiku | Palo colorado | Palo rojo | Palo Cruz | Kanoneyoa ke | Yabakaike"
"Eperua obtusata",""
"Eperua oleifera",""
"Eperua praesagata",""
"Eperua purpurea","Guapa | boo-noe-ka | boo-roo-ho | Guanano"
"Eperua rubiginosa",""
"Eperua schomburgkiana",""
"Ephedranthus amazonicus",""
"Ephedranthus boliviensis",""
"Ephedranthus columbianus","Yaya prieta; Naranjo; Sin nombre comun"
"Ephedranthus dimerus",""
"Ephedranthus guianensis","momba (Saramaccan); mekoro wewe (Trio)"
"Ephedranthus parviflorus",""
"Ephedranthus pisocarpus",""
"Ephippiandra madagascariensis",""
"Ephippiandra masoalensis",""
"Ephippiandra perrieri",""
"Ephippiandra tsaratanensis",""
"Ephippiocarpa orientalis",""
"Epiprinus malayanus",""
"Epiprinus mallotiformis",""
"Epiprinus siletianus",""
"Erblichia odorata","Tarro de oro, Sanjuanera, Sik'in, Tulipán del campo, Tulipán de montaña, canelilla de montaña, Flor mayo, Flor de mariposa, Flor de san pedro, litoncillo, Sapotillo, Tulipancillo, roun roun, Conup, Flor de mayo, Árbol de leche, nichiote´c, Palo de calandria, San Juan, San Pedro, asta, chamiso, copa de oro, flor de San Pedro, flor de mayo, palo de mora, sanjuanera, sanjuanero, tulipán; sik'in, tulipán, flor de mayo, San Juan, San Pedro, asta, chamiso, copa de oro, flor de San Pedro, flor de mayo, palo de mora, sanjuanera, sanjuanero, tulipán; San Juan, San Pedro, asta, chamiso, copa de oro, flor de San Pedro, flor de mayo, palo de mora, sanjuanera, sanjuanero, tulipán; palo de leche, San Juan, San Pedro, asta, chamiso, copa de oro, flor de San Pedro, flor de mayo, palo de mora, sanjuanera, sanjuanero, tulipán"
